"","simType","recording","bestFitDist"
"1","nonInteractive","0054_000603",0.0950202887888578
"2","nonInteractive","0196_000902",0.0930956110971748
"3","nonInteractive","0274_000221",0.139946563867266
"4","nonInteractive","0300_000607",0.4538547517552
"5","nonInteractive","0344_000913",0.135830785302074
"6","nonInteractive","0437_010603",0.0866320232849054
"7","nonInteractive","0833_010606",0.140368037210207
"8","a2interactive","0054_000603",0.102647132902425
"9","a2interactive","0196_000902",0.0968165542893374
"10","a2interactive","0274_000221",0.157659383865411
"11","a2interactive","0300_000607",0.224187153863857
"12","a2interactive","0344_000913",0.193583337307322
"13","a2interactive","0437_010603",0.114677608382445
"14","a2interactive","0833_010606",0.147637798571589
"15","bidirectional","0054_000603",0.177573412166313
"16","bidirectional","0196_000902",0.140267166810114
"17","bidirectional","0274_000221",0.127903293850213
"18","bidirectional","0300_000607",0.252151282477198
"19","bidirectional","0344_000913",0.210138256892228
"20","bidirectional","0437_010603",0.124402169057063
"21","bidirectional","0833_010606",0.15009596459918
